1,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,4/10/25,934,7700 DOWER LN,MCLEAN,VA,22102
1,SERV-1,SERVICE - POLICE SERVICE,4/10/25,1010,3900 QUISENBERRY DR,ALEXANDRIA,VA,22309
1,SERV-1,SERVICE - POLICE SERVICE,4/10/25,934, HERITAGE DR / LITTLE RIVER TPKE,ANNANDALE,VA,22003
1,SERV-2,SERVICE - CIVIL DISPUTE,4/10/25,945,6300 ROLLING RD,SPRINGFIELD,VA,22152
1,SUSP-1,SUSPICIOUS - EVENT,4/10/25,441,6600 TELEGRAPH RD,ALEXANDRIA,VA,22310
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,4/10/25,952,2300 CARTA WAY,HERNDON,VA,20171
1,DISORD-90C-2,DISORDERLY - DISORDERLY CONDUCT,4/10/25,918,7200 ARLINGTON BLVD,FALLS CHURCH,VA,22042
2,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,4/10/25,918,7200 ARLINGTON BLVD,FALLS CHURCH,VA,22042
1,SUSP-1,SUSPICIOUS - EVENT,4/10/25,923,7800 GREELEY BLVD,SPRINGFIELD,VA,22152
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,4/10/25,1011,4000 HIRST DR,ANNANDALE,VA,22003
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,4/10/25,943,11400 SOUTH LAKES DR,RESTON,VA,20191
2,SERV-45,SRO RELATED EVENT,4/10/25,943,11400 SOUTH LAKES DR,RESTON,VA,20191
1,WARR-90Z-2,ORDER - VIOLATE COURT ORDER/OFFICIAL PAPER,4/10/25,1019,2500 JOHN EPPES RD,HERNDON,VA,20171
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,4/10/25,1045,14100 SAINT GERMAIN DR,CENTREVILLE,VA,20121
1,WARR-90Z-4,WARRANT - WARRANT SERVICE,4/10/25,1016,10500 JUDICIAL DR,FAIRFAX,VA,22030
1,SERV-1,SERVICE - POLICE SERVICE,4/10/25,1051,7300 HOWARD CT,FALLS CHURCH,VA,22043
1,SERV-1,SERVICE - POLICE SERVICE,4/10/25,1113, LEESBURG PIKE / SPRING HILL RD,VIENNA,VA,22182
1,LARC-23-3,LARCENY - SHOPLIFTING,4/10/25,1115,6500 SPRINGFIELD MALL,SPRINGFIELD,VA,22150
